  WIND-SMS-STICS H+, He+2, He+ fluxes for Telescopes 1,2,3
 ==========================================================
  Run time  14:13:52   24-SEP-99
  Output Filename: ahhe960901.dat             
         Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19960901_V01.DAT;1                              
  Clock selected: Wall     Trigger mode is (Tn.!E)+(Tn.En)       
  FIFO mode is OFF         TGS  mode is OFF
  Telemetry mode is Science mode     
  FILTERING CHOICES:
          Voltage step selection =   0 to 31
          Event type selection   =   M/Q & M
          Range selection        =     2 1 0
          Range checking is OFF
          Velocity range         =  240 to   1000
          Telescope checking is  ON
  Start Time:  19960901  00:00:00     End Time:  19960901  23:59:59
  Energy range = 10 - 30 keV/amu =>   H+   = DVS04-13 
                                      He+2 = DVS10-19 
                                      He+  = DVS16-25 
  Interval Start Time  
  YEAR DOY:HR:MN:SC    SPEED      H_Tel1     He2_Tel1    He1_Tel1     H_Tel2     He2_Tel2    He1_Tel2     H_Tel3     He2_Tel3    He1_Tel3 
  1996 245:06:02:51    430.6    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.1842E+01  0.0000E+00
  1996 245:06:06:04    430.8    0.0000E+00  1.0979E+01  0.0000E+00  0.0000E+00  1.0979E+01  0.0000E+00  2.2539E+01  0.0000E+00  0.0000E+00
  1996 245:06:09:17    423.3    0.0000E+00  1.5744E+01  0.0000E+00  0.0000E+00  1.7278E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:06:12:31    422.1    0.0000E+00  2.2821E+01  0.0000E+00  2.2539E+01  1.2521E+01  0.0000E+00  2.2539E+01  1.9228E+01  0.0000E+00
  1996 245:06:15:44    422.4    0.0000E+00  1.2521E+01  0.0000E+00  0.0000E+00  1.3375E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:06:18:57    430.3    0.0000E+00  5.0295E+01  0.0000E+00  0.0000E+00  1.4473E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:06:22:10    434.8    0.0000E+00  1.0979E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:06:25:24    431.3    0.0000E+00  2.5452E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:06:28:37      0.0    0.0000E+00  1.2521E+01  0.0000E+00  0.0000E+00  7.8525E+01  0.0000E+00  0.0000E+00  2.2707E+01  0.0000E+00
  1996 245:06:31:50    430.7    0.0000E+00  1.1316E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.4473E+01  0.0000E+00
  1996 245:06:35:03    434.1    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
