1994 357 15:36   26.14  -13.72   -1.56
1994 357 15:48   26.03  -13.59   -1.56
1994 357 16:00   25.91  -13.46   -1.55
1994 357 16:12   25.80  -13.33   -1.55
1994 357 16:24   25.68  -13.20   -1.54
1994 357 16:36   25.56  -13.06   -1.53
1994 357 16:48   25.44  -12.93   -1.53
1994 357 17:00   25.32  -12.80   -1.52
1994 357 17:12   25.20  -12.66   -1.52
1994 357 17:24   25.08  -12.53   -1.51
1994 357 17:36   24.96  -12.39   -1.50
1994 357 17:48   24.84  -12.26   -1.50
1994 357 18:00   24.71  -12.12   -1.49
1994 357 18:12   24.59  -11.98   -1.49
1994 357 18:24   24.46  -11.85   -1.48
1994 357 18:36   24.34  -11.71   -1.47
1994 357 18:48   24.21  -11.57   -1.47
1994 357 19:00   24.08  -11.43   -1.46
1994 357 19:12   23.95  -11.29   -1.45
1994 357 19:24   23.82  -11.15   -1.45
1994 357 19:36   23.69  -11.01   -1.44
1994 357 19:48   23.56  -10.87   -1.43
1994 357 20:00   23.42  -10.73   -1.43
1994 357 20:12   23.29  -10.59   -1.42
1994 357 20:24   23.15  -10.45   -1.41
1994 357 20:36   23.02  -10.30   -1.41
1994 357 20:48   22.88  -10.16   -1.40
1994 357 21:00   22.74  -10.02   -1.39
1994 357 21:12   22.60   -9.87   -1.39
1994 357 21:24   22.46   -9.73   -1.38
1994 357 21:36   22.32   -9.58   -1.37
1994 357 21:48   22.17   -9.43   -1.36
1994 357 22:00   22.03   -9.29   -1.36
1994 357 22:12   21.88   -9.14   -1.35
1994 357 22:24   21.74   -8.99   -1.34
1994 357 22:36   21.59   -8.84   -1.33
1994 357 22:48   21.44   -8.69   -1.33
1994 357 23:00   21.29   -8.54   -1.32
1994 357 23:12   21.13   -8.39   -1.31
1994 357 23:24   20.98   -8.24   -1.30
1994 357 23:36   20.83   -8.09   -1.29
1994 357 23:48   20.67   -7.94   -1.29
1994 358 00:00   20.51   -7.78   -1.28
1994 358 00:12   20.35   -7.63   -1.27
1994 358 00:24   20.19   -7.48   -1.26
1994 358 00:36   20.03   -7.32   -1.25
1994 358 00:48   19.86   -7.17   -1.24
1994 358 01:00   19.70   -7.01   -1.23
1994 358 01:12   19.53   -6.85   -1.22
1994 358 01:24   19.36   -6.70   -1.22
1994 358 01:36   19.19   -6.54   -1.21
1994 358 01:48   19.02   -6.38   -1.20
1994 358 02:00   18.84   -6.22   -1.19
1994 358 02:12   18.67   -6.06   -1.18
1994 358 02:24   18.49   -5.90   -1.17
1994 358 02:36   18.31   -5.74   -1.16
1994 358 02:48   18.13   -5.57   -1.15
1994 358 03:00   17.94   -5.41   -1.14
1994 358 03:12   17.75   -5.25   -1.13
1994 358 03:24   17.57   -5.08   -1.12
1994 358 03:36   17.37   -4.92   -1.11
1994 358 03:48   17.18   -4.75   -1.10
1994 358 04:00   16.99   -4.59   -1.09
1994 358 04:12   16.79   -4.42   -1.08
1994 358 04:24   16.59   -4.25   -1.06
1994 358 04:36   16.38   -4.08   -1.05
1994 358 04:48   16.18   -3.91   -1.04
1994 358 05:00   15.97   -3.74   -1.03
1994 358 05:12   15.76   -3.57   -1.02
1994 358 05:24   15.55   -3.40   -1.01
1994 358 05:36   15.33   -3.23   -0.99
1994 358 05:48   15.11   -3.05   -0.98
1994 358 06:00   14.88   -2.88   -0.97
1994 358 06:12   14.66   -2.70   -0.96
1994 358 06:24   14.43   -2.53   -0.94
1994 358 06:36   14.19   -2.35   -0.93
1994 358 06:48   13.96   -2.18   -0.92
1994 358 07:00   13.72   -2.00   -0.90
1994 358 07:12   13.47   -1.82   -0.89
1994 358 07:24   13.22   -1.64   -0.87
1994 358 07:36   12.97   -1.46   -0.86
1994 358 07:48   12.71   -1.28   -0.85
1994 358 08:00   12.44   -1.10   -0.83
1994 358 08:12   12.18   -0.92   -0.81
1994 358 08:24   11.90   -0.74   -0.80
1994 358 08:36   11.62   -0.56   -0.78
1994 358 08:48   11.34   -0.38   -0.77
1994 358 09:00   11.05   -0.19   -0.75
1994 358 09:12   10.75   -0.01   -0.73
1994 358 09:24   10.45    0.17   -0.71
1994 358 09:36   10.14    0.36   -0.69
1994 358 09:48    9.82    0.54   -0.68
1994 358 10:00    9.49    0.72   -0.66
1994 358 10:12    9.15    0.90   -0.64
1994 358 10:24    8.81    1.08   -0.61
1994 358 10:36    8.45    1.26   -0.59
1994 358 10:48    8.09    1.44   -0.57
1994 358 11:00    7.71    1.62   -0.55
1994 358 11:12    7.32    1.79   -0.52
1994 358 11:24    6.92    1.96   -0.50
1994 358 11:36    6.50    2.13   -0.47
1994 358 11:48    6.07    2.29   -0.45
1994 358 12:00    5.62    2.44   -0.42
1994 358 12:12    5.15    2.59   -0.39
1994 358 12:24    4.66    2.73   -0.36
1994 358 12:36    4.14    2.85   -0.32
1994 358 12:48    3.60    2.95   -0.29
1994 358 13:00    3.03    3.04   -0.25
1994 358 13:12    2.43    3.09   -0.21
1994 358 13:24    1.80    3.10   -0.17
1994 358 13:36    1.14    3.05   -0.12
1994 358 13:48    0.45    2.94   -0.07
1994 358 14:00   -0.25    2.74   -0.02
1994 358 14:12   -0.94    2.43    0.03
1994 358 14:24   -1.59    2.02    0.08
1994 358 14:36   -2.16    1.51    0.13
1994 358 14:48   -2.65    0.94    0.17
1994 358 15:00   -3.03    0.34    0.20
1994 358 15:12   -3.34   -0.28    0.23
1994 358 15:24   -3.58   -0.89    0.26
1994 358 15:36   -3.75   -1.48    0.28
1994 358 15:48   -3.89   -2.06    0.29
1994 358 16:00   -3.99   -2.62    0.31
1994 358 16:12   -4.05   -3.16    0.32
1994 358 16:24   -4.10   -3.69    0.33
1994 358 16:36   -4.13   -4.19    0.34
1994 358 16:48   -4.14   -4.68    0.35
1994 358 17:00   -4.13   -5.15    0.35
1994 358 17:12   -4.12   -5.61    0.36
1994 358 17:24   -4.09   -6.06    0.36
1994 358 17:36   -4.06   -6.49    0.37
1994 358 17:48   -4.02   -6.91    0.37
1994 358 18:00   -3.97   -7.32    0.37
1994 358 18:12   -3.92   -7.72    0.38
1994 358 18:24   -3.87   -8.12    0.38
1994 358 18:36   -3.81   -8.50    0.38
1994 358 18:48   -3.74   -8.87    0.38
1994 358 19:00   -3.68   -9.24    0.38
1994 358 19:12   -3.61   -9.60    0.38
1994 358 19:24   -3.53   -9.95    0.38
1994 358 19:36   -3.46  -10.30    0.38
1994 358 19:48   -3.38  -10.64    0.38
1994 358 20:00   -3.30  -10.97    0.38
1994 358 20:12   -3.22  -11.30    0.38
1994 358 20:24   -3.14  -11.62    0.38
1994 358 20:36   -3.06  -11.93    0.37
1994 358 20:48   -2.98  -12.25    0.37
1994 358 21:00   -2.89  -12.55    0.37
1994 358 21:12   -2.80  -12.85    0.37
1994 358 21:24   -2.72  -13.15    0.37
1994 358 21:36   -2.63  -13.44    0.37
1994 358 21:48   -2.54  -13.73    0.36
1994 358 22:00   -2.45  -14.02    0.36
1994 358 22:12   -2.36  -14.30    0.36
1994 358 22:24   -2.27  -14.58    0.36
